States,Zone,Period,Year,temp_change,Baseline mean
Chandigarh,North,May,1951,-0.35999999999999943,30.56
Chandigarh,North,Jun,1951,-0.379999999999999,31.98
Chandigarh,North,Jul,1951,0.7300000000000004,29.77
Chandigarh,North,Aug,1951,0.28000000000000114,28.72
Chandigarh,North,Sep,1951,0.5199999999999996,27.98
Chandigarh,North,Oct,1951,2.370000000000001,24.63
Chandigarh,North,Nov,1951,0.7900000000000027,18.81
Chandigarh,North,Dec,1951,0.2599999999999998,14.34
Chandigarh,North,Annual,1951,-0.03999999999999915,23.48
Chandigarh,North,Winter,1951,-1.0,14.0
Chandigarh,North,Summer,1951,-1.0200000000000031,25.85
Chandigarh,North,Monsoon,1951,0.28999999999999915,29.61
Chandigarh,North,Post Monsoon,1951,1.139999999999997,19.26
Chhattisgarh,Central,Jan,1951,-0.9400000000000013,19.35
Chhattisgarh,Central,Feb,1951,-0.7300000000000004,22.32
Chhattisgarh,Central,Mar,1951,-0.4400000000000013,26.66
Chhattisgarh,Central,Apr,1951,-0.9800000000000004,30.75
Chhattisgarh,Central,May,1951,-0.29999999999999716,33.29
Chhattisgarh,Central,Jun,1951,0.08000000000000185,30.9
Chhattisgarh,Central,Jul,1951,0.3099999999999987,27.07
Chhattisgarh,Central,Aug,1951,-0.19000000000000128,26.57
Chhattisgarh,Central,Sep,1951,0.15000000000000213,26.86
Chhattisgarh,Central,Oct,1951,1.0899999999999999,25.61
Chhattisgarh,Central,Nov,1951,0.05000000000000071,22.2
Chhattisgarh,Central,Dec,1951,-0.8000000000000007,19.28
Chhattisgarh,Central,Annual,1951,-0.21999999999999886,25.9
Chhattisgarh,Central,Winter,1951,-0.8399999999999999,20.84
Chhattisgarh,Central,Summer,1951,-0.5700000000000003,30.23
Chhattisgarh,Central,Monsoon,1951,0.08999999999999986,27.85
Chhattisgarh,Central,Post Monsoon,1951,0.120000000000001,22.36
Dadra and Nagar Haveli,West,Jan,1951,-0.9600000000000009,21.94
Dadra and Nagar Haveli,West,Feb,1951,-0.8099999999999987,23.38
Dadra and Nagar Haveli,West,Mar,1951,0.05000000000000071,26.68
Dadra and Nagar Haveli,West,Apr,1951,-1.2699999999999996,29.16
Dadra and Nagar Haveli,West,May,1951,-0.46000000000000085,30.44
Dadra and Nagar Haveli,West,Jun,1951,-0.28000000000000114,29.02
Dadra and Nagar Haveli,West,Jul,1951,0.629999999999999,26.85
Dadra and Nagar Haveli,West,Aug,1951,-0.11999999999999744,26.31
Dadra and Nagar Haveli,West,Sep,1951,0.8299999999999983,26.78
Dadra and Nagar Haveli,West,Oct,1951,0.5399999999999991,27.57
Dadra and Nagar Haveli,West,Nov,1951,0.48999999999999844,25.46
Dadra and Nagar Haveli,West,Dec,1951,-0.6499999999999986,23.18
Dadra and Nagar Haveli,West,Annual,1951,-0.16999999999999815,26.4
Dadra and Nagar Haveli,West,Winter,1951,-0.8900000000000006,22.67
Dadra and Nagar Haveli,West,Summer,1951,-0.5600000000000023,28.76
Dadra and Nagar Haveli,West,Monsoon,1951,0.2700000000000031,27.24
Dadra and Nagar Haveli,West,Post Monsoon,1951,0.13000000000000256,25.4
Daman and Diu,West,Jan,1951,-0.889999999999997,21.74
Daman and Diu,West,Feb,1951,-0.9499999999999993,22.91
Daman and Diu,West,Mar,1951,-0.129999999999999,25.7
Daman and Diu,West,Apr,1951,-1.4100000000000001,27.59
Daman and Diu,West,May,1951,-0.5700000000000003,29.23
